Instancia;Método;Parámetro;T. ejecución;V. total;V. solapamiento;V. 8h;V. 6h;V. tiempo muerto;V. créditos
t1.1;first;5;3;0;0;0;0;0;0
t1.1;first;5;4;0;0;0;0;0;0
t1.1;first;5;3;31;12;0;0;19;0
t1.1;first;5;5;69;12;0;0;57;0
t1.1;first;5;5;0;0;0;0;0;0
t1.1;first;5;8;69;24;0;0;45;0
t1.1;first;5;4;38;0;0;0;38;0
t1.1;first;5;4;50;12;0;0;38;0
t1.1;first;5;4;74;36;0;0;38;0
t1.1;first;5;6;48;48;0;0;0;0
t1.1;first;5;4;50;12;0;0;38;0
t1.1;first;5;3;0;0;0;0;0;0
t1.1;first;5;6;43;24;0;0;19;0
t1.1;first;5;5;19;0;0;0;19;0
t1.1;first;5;6;74;24;0;0;50;0
t1.1;first;5;5;50;0;0;0;50;0
t1.1;first;5;3;74;24;0;0;50;0
t1.1;first;5;2;44;12;0;0;32;0
t1.1;first;5;4;43;24;0;0;19;0
t1.1;first;5;6;43;24;0;0;19;0
t1.1;first;5;3;31;12;0;0;19;0
t1.1;first;5;3;50;12;0;0;38;0
t1.1;first;5;4;31;0;0;0;31;0
t1.1;first;5;7;62;24;0;0;38;0
t1.1;first;5;4;50;0;0;0;50;0
t1.1;first;5;3;55;24;0;0;31;0
t1.1;first;5;4;62;24;0;0;38;0
t1.1;first;5;5;19;0;0;0;19;0
t1.1;first;5;4;62;12;0;0;50;0
t1.1;first;5;4;31;0;0;0;31;0
t1.1;first;5;4;44;12;0;0;32;0
t1.1;first;5;4;12;12;0;0;0;0
t1.1;first;5;4;19;0;0;0;19;0
t1.1;first;5;3;19;0;0;0;19;0
t1.1;first;5;4;69;12;0;0;57;0
t1.1;first;5;3;19;0;0;0;19;0
t1.1;first;5;4;19;0;0;0;19;0
t1.1;first;5;3;74;24;0;0;50;0
t1.1;first;5;4;43;24;0;0;19;0
t1.1;first;5;3;12;12;0;0;0;0
t1.1;first;5;4;43;12;0;0;31;0
t1.1;first;5;3;19;0;0;0;19;0
t1.1;first;5;3;19;0;0;0;19;0
t1.1;first;5;6;56;24;0;0;32;0
t1.1;first;5;3;19;0;0;0;19;0
t1.1;first;5;4;69;24;0;0;45;0
t1.1;first;5;4;19;0;0;0;19;0
t1.1;first;5;4;31;0;0;0;31;0
t1.1;first;5;10;43;12;0;0;31;0
t1.1;first;6;3;50;12;0;0;38;0
t1.1;first;6;3;50;12;0;0;38;0
t1.1;first;6;4;99;36;0;0;63;0
t1.1;first;6;3;56;24;0;0;32;0
t1.1;first;6;5;85;72;0;0;13;0
t1.1;first;6;4;43;24;0;0;19;0
t1.1;first;6;6;55;24;0;0;31;0
t1.1;first;6;6;100;36;0;0;64;0
t1.1;first;6;4;50;12;0;0;38;0
t1.1;first;6;4;98;48;0;0;50;0
t1.1;first;6;6;62;24;0;0;38;0
t1.1;first;6;4;19;0;0;0;19;0
t1.1;first;6;4;12;12;0;0;0;0
t1.1;first;6;5;50;12;0;0;38;0
t1.1;first;6;3;31;0;0;0;31;0
t1.1;first;6;3;86;36;0;0;50;0
t1.1;first;6;3;12;12;0;0;0;0
t1.1;first;6;3;43;24;0;0;19;0
t1.1;first;6;2;19;0;0;0;19;0
t1.1;first;6;5;48;48;0;0;0;0
t1.1;first;6;3;43;24;0;0;19;0
t1.1;first;6;2;31;0;0;0;31;0
t1.1;first;6;3;12;12;0;0;0;0
t1.1;first;6;4;19;0;0;0;19;0
t1.1;first;6;3;36;36;0;0;0;0
t1.1;first;6;5;62;24;0;0;38;0
t1.1;first;6;3;31;12;0;0;19;0
t1.1;first;6;6;67;48;0;0;19;0
t1.1;first;6;6;73;60;0;0;13;0
