ID,Instancia,Método,Parámetro,T. ejecución,T. construcción,T. mejora,V. total,V. solapamiento,V. 8h,V. 6h,V. tiempo muerto,V. créditos
1624999304479,t3.123.33,first,1,330,0,330,30,30,0,0,0,0
1624999304840,t3.123.33,first,1,378,15,363,55,36,0,0,19,0
1624999305234,t3.123.33,first,1,349,16,333,87,36,0,0,51,0
1624999305598,t3.123.33,first,1,573,0,573,87,36,0,0,51,0
1624999306171,t3.123.33,first,1,425,0,425,87,36,0,0,51,0
1624999306611,t3.123.33,first,1,361,0,361,24,24,0,0,0,0
1624999306972,t3.123.33,first,1,362,0,362,56,24,0,0,32,0
1624999307380,t3.123.33,first,1,366,0,366,56,24,0,0,32,0
1624999307746,t3.123.33,first,1,338,0,338,87,36,0,0,51,0
1624999308084,t3.123.33,first,1,362,0,362,30,30,0,0,0,0
1624999308446,t3.123.33,first,1,426,17,409,68,36,0,0,32,0
1624999308905,t3.123.33,first,1,397,0,397,56,24,0,0,32,0
1624999309343,t3.123.33,first,1,450,19,431,24,24,0,0,0,0
1624999309809,t3.123.33,first,1,390,15,375,24,24,0,0,0,0
1624999310199,t3.123.33,first,1,379,0,379,36,36,0,0,0,0
1624999310578,t3.123.33,first,1,401,0,401,81,30,0,0,51,0
1624999311027,t3.123.33,first,1,351,3,348,24,24,0,0,0,0
1624999311379,t3.123.33,first,1,482,0,482,24,24,0,0,0,0
1624999311861,t3.123.33,first,1,533,0,533,18,18,0,0,0,0
1624999312394,t3.123.33,first,1,424,16,408,68,36,0,0,32,0
1624999312849,t3.123.33,first,1,393,16,377,49,30,0,0,19,0
1624999313273,t3.123.33,first,1,372,0,372,42,42,0,0,0,0
1624999313647,t3.123.33,first,1,363,6,357,30,30,0,0,0,0
1624999314026,t3.123.33,first,1,358,0,358,36,36,0,0,0,0
1624999314416,t3.123.33,first,1,517,0,517,87,36,0,0,51,0
1624999314933,t3.123.33,first,1,424,5,419,87,36,0,0,51,0
1624999315373,t3.123.33,first,1,399,19,380,87,36,0,0,51,0
1624999315774,t3.123.33,first,1,479,5,474,36,36,0,0,0,0
1624999316253,t3.123.33,first,1,405,0,405,30,30,0,0,0,0
1624999316658,t3.123.33,first,1,297,0,297,56,24,0,0,32,0
1624999316986,t3.123.33,first,1,550,16,534,30,30,0,0,0,0
1624999317536,t3.123.33,first,1,486,0,486,36,36,0,0,0,0
1624999318022,t3.123.33,first,1,328,16,312,106,36,0,0,70,0
1624999318350,t3.123.33,first,1,361,20,341,30,30,0,0,0,0
1624999318711,t3.123.33,first,1,364,0,364,106,36,0,0,70,0
1624999319358,t3.123.33,first,1,309,0,309,56,24,0,0,32,0
1624999319667,t3.123.33,first,1,370,0,370,56,24,0,0,32,0
1624999320039,t3.123.33,first,1,291,6,285,56,24,0,0,32,0
1624999320553,t3.123.33,first,1,365,15,350,106,36,0,0,70,0
1624999320958,t3.123.33,first,1,386,0,386,50,18,0,0,32,0
1624999321344,t3.123.33,first,1,344,0,344,112,42,0,0,70,0
1624999322409,t3.123.33,first,1,441,0,441,87,36,0,0,51,0
1624999322850,t3.123.33,first,1,378,22,356,30,30,0,0,0,0
1624999323556,t3.123.33,first,1,377,16,361,93,42,0,0,51,0
1624999323934,t3.123.33,first,1,393,7,386,12,12,0,0,0,0
1624999324329,t3.123.33,first,1,441,5,436,18,18,0,0,0,0
1624999324773,t3.123.33,first,1,451,7,444,24,24,0,0,0,0
1624999325275,t3.123.33,first,1,499,5,494,36,36,0,0,0,0
1624999325777,t3.123.33,first,1,530,2,528,87,36,0,0,51,0
1624999326308,t3.123.33,first,1,378,0,378,49,30,0,0,19,0
1624999327191,t3.123.33,first,1,331,16,315,87,36,0,0,51,0
1624999327709,t3.123.33,first,1,329,0,329,81,30,0,0,51,0
1624999328038,t3.123.33,first,1,424,19,405,68,36,0,0,32,0
1624999328633,t3.123.33,first,1,378,0,378,87,36,0,0,51,0
1624999329120,t3.123.33,first,1,391,0,391,81,30,0,0,51,0
1624999329714,t3.123.33,first,1,501,17,484,54,54,0,0,0,0
1624999330215,t3.123.33,first,1,324,0,324,37,18,0,0,19,0
1624999330539,t3.123.33,first,1,440,0,440,81,30,0,0,51,0
1624999331532,t3.123.33,first,1,342,6,336,87,36,0,0,51,0
1624999332054,t3.123.33,first,1,346,0,346,87,36,0,0,51,0
1624999332850,t3.123.33,first,1,519,0,519,87,36,0,0,51,0
1624999333462,t3.123.33,first,1,390,0,390,87,36,0,0,51,0
1624999333977,t3.123.33,first,1,396,15,381,18,18,0,0,0,0
1624999334783,t3.123.33,first,1,370,21,349,24,24,0,0,0,0
1624999335153,t3.123.33,first,1,317,16,301,56,24,0,0,32,0
1624999335753,t3.123.33,first,1,340,0,340,62,30,0,0,32,0
1624999336093,t3.123.33,first,1,315,16,299,56,24,0,0,32,0
1624999336674,t3.123.33,first,1,454,15,439,30,30,0,0,0,0
1624999337253,t3.123.33,first,1,533,16,517,30,30,0,0,0,0
1624999338852,t3.123.33,first,1,327,0,327,87,36,0,0,51,0
1624999339620,t3.123.33,first,1,440,0,440,87,36,0,0,51,0
1624999340263,t3.123.33,first,1,338,0,338,50,18,0,0,32,0
1624999340601,t3.123.33,first,1,391,0,391,30,30,0,0,0,0
1624999341391,t3.123.33,first,1,419,5,414,42,42,0,0,0,0
1624999342727,t3.123.33,first,1,317,0,317,87,36,0,0,51,0
1624999343167,t3.123.33,first,1,377,0,377,56,24,0,0,32,0
1624999344040,t3.123.33,first,1,439,0,439,18,18,0,0,0,0
1624999344479,t3.123.33,first,1,414,0,414,62,30,0,0,32,0
1624999344910,t3.123.33,first,1,348,0,348,56,24,0,0,32,0
1624999345863,t3.123.33,first,1,369,0,369,99,48,0,0,51,0
1624999346528,t3.123.33,first,1,399,6,393,87,36,0,0,51,0
1624999346927,t3.123.33,first,1,435,0,435,24,24,0,0,0,0
1624999347362,t3.123.33,first,1,425,16,409,68,36,0,0,32,0
1624999347959,t3.123.33,first,1,437,0,437,87,36,0,0,51,0
1624999348929,t3.123.33,first,1,346,0,346,87,36,0,0,51,0
1624999349275,t3.123.33,first,1,423,0,423,87,36,0,0,51,0
1624999349760,t3.123.33,first,1,399,26,373,18,18,0,0,0,0
1624999350191,t3.123.33,first,1,566,4,562,24,24,0,0,0,0
1624999350797,t3.123.33,first,1,316,16,300,112,42,0,0,70,0
1624999351113,t3.123.33,first,1,357,0,357,24,24,0,0,0,0
1624999351470,t3.123.33,first,1,356,16,340,12,12,0,0,0,0
1624999351827,t3.123.33,first,1,362,6,356,24,24,0,0,0,0
1624999352210,t3.123.33,first,1,419,21,398,30,30,0,0,0,0
1624999352629,t3.123.33,first,1,564,15,549,24,24,0,0,0,0
1624999353193,t3.123.33,first,1,360,0,360,24,24,0,0,0,0
1624999353584,t3.123.33,first,1,359,0,359,24,24,0,0,0,0
1624999353975,t3.123.33,first,1,453,0,453,99,48,0,0,51,0
1624999354465,t3.123.33,first,1,526,4,522,87,36,0,0,51,0
1624999354993,t3.123.33,first,1,349,0,349,87,36,0,0,51,0
1624999355393,t3.123.33,first,1,370,0,370,56,24,0,0,32,0
1624999355779,t3.123.33,first,1,298,0,298,56,24,0,0,32,0
1624999356093,t3.123.33,first,1,364,21,343,30,30,0,0,0,0
1624999356457,t3.123.33,first,1,312,15,297,56,24,0,0,32,0
1624999356863,t3.123.33,first,1,312,16,296,56,24,0,0,32,0
1624999357175,t3.123.33,first,1,291,0,291,56,24,0,0,32,0
1624999357512,t3.123.33,first,1,353,0,353,56,24,0,0,32,0
1624999357881,t3.123.33,first,1,375,15,360,18,18,0,0,0,0
1624999358256,t3.123.33,first,1,452,0,452,30,30,0,0,0,0
1624999358725,t3.123.33,first,1,428,0,428,87,36,0,0,51,0
1624999359186,t3.123.33,first,1,342,16,326,87,36,0,0,51,0
1624999359528,t3.123.33,first,1,374,0,374,37,18,0,0,19,0
1624999359918,t3.123.33,first,1,405,0,405,61,42,0,0,19,0
1624999360324,t3.123.33,first,1,459,1,458,42,42,0,0,0,0
1624999360784,t3.123.33,first,1,437,6,431,24,24,0,0,0,0
1624999361252,t3.123.33,first,1,436,16,420,42,42,0,0,0,0
1624999361688,t3.123.33,first,1,533,0,533,87,36,0,0,51,0
1624999362221,t3.123.33,first,1,424,0,424,43,24,0,0,19,0
1624999362645,t3.123.33,first,1,580,15,565,99,48,0,0,51,0
1624999363225,t3.123.33,first,1,595,0,595,24,24,0,0,0,0
1624999363851,t3.123.33,first,1,361,0,361,43,24,0,0,19,0
1624999364212,t3.123.33,first,1,455,0,455,18,18,0,0,0,0
1624999364683,t3.123.33,first,1,325,0,325,81,30,0,0,51,0
1624999365008,t3.123.33,first,1,364,15,349,24,24,0,0,0,0
1624999365388,t3.123.33,first,1,439,16,423,87,36,0,0,51,0
1624999365842,t3.123.33,first,1,408,15,393,30,30,0,0,0,0
1624999366250,t3.123.33,first,1,456,0,456,42,42,0,0,0,0
1624999366721,t3.123.33,first,1,443,0,443,24,24,0,0,0,0
1624999367164,t3.123.33,first,1,340,0,340,30,30,0,0,0,0
1624999367504,t3.123.33,first,1,486,20,466,56,24,0,0,32,0
1624999367990,t3.123.33,first,1,423,4,419,87,36,0,0,51,0
1624999368429,t3.123.33,first,1,325,19,306,87,36,0,0,51,0
1624999368754,t3.123.33,first,1,338,11,327,24,24,0,0,0,0
1624999369122,t3.123.33,first,1,466,0,466,106,36,0,0,70,0
1624999369588,t3.123.33,first,1,455,17,438,99,48,0,0,51,0
1624999370043,t3.123.33,first,1,486,0,486,56,24,0,0,32,0
1624999370560,t3.123.33,first,1,376,0,376,24,24,0,0,0,0
1624999370936,t3.123.33,first,1,304,19,285,49,30,0,0,19,0
1624999371256,t3.123.33,first,1,354,15,339,24,24,0,0,0,0
1624999371610,t3.123.33,first,1,425,17,408,24,24,0,0,0,0
1624999372050,t3.123.33,first,1,339,0,339,30,30,0,0,0,0
1624999372420,t3.123.33,first,1,443,22,421,49,30,0,0,19,0
1624999372863,t3.123.33,first,1,486,0,486,56,24,0,0,32,0
1624999373364,t3.123.33,first,1,331,0,331,30,30,0,0,0,0
1624999373711,t3.123.33,first,1,363,15,348,93,42,0,0,51,0
1624999374075,t3.123.33,first,1,483,6,477,36,36,0,0,0,0
1624999374559,t3.123.33,first,1,529,4,525,87,36,0,0,51,0
1624999375131,t3.123.33,first,1,570,3,567,24,24,0,0,0,0
1624999375702,t3.123.33,first,1,457,0,457,42,42,0,0,0,0
1624999376159,t3.123.33,first,1,532,0,532,87,36,0,0,51,0
1624999376707,t3.123.33,first,1,430,4,426,30,30,0,0,0,0
1624999377160,t3.123.33,first,1,298,16,282,75,24,0,0,51,0
1624999377458,t3.123.33,first,1,391,21,370,87,36,0,0,51,0
1624999377849,t3.123.33,first,1,429,16,413,87,36,0,0,51,0
1624999378278,t3.123.33,first,1,435,0,435,24,24,0,0,0,0
1624999378728,t3.123.33,first,1,436,0,436,18,18,0,0,0,0
1624999379164,t3.123.33,first,1,344,0,344,24,24,0,0,0,0
1624999379540,t3.123.33,first,1,360,16,344,87,36,0,0,51,0
1624999379933,t3.123.33,first,1,427,8,419,18,18,0,0,0,0
1624999380360,t3.123.33,first,1,436,19,417,87,36,0,0,51,0
1624999380811,t3.123.33,first,1,282,0,282,106,36,0,0,70,0
1624999381093,t3.123.33,first,1,454,0,454,42,42,0,0,0,0
1624999381547,t3.123.33,first,1,351,19,332,18,18,0,0,0,0
1624999381898,t3.123.33,first,1,339,15,324,62,30,0,0,32,0
1624999382268,t3.123.33,first,1,301,0,301,56,24,0,0,32,0
1624999382586,t3.123.33,first,1,344,6,338,56,24,0,0,32,0
1624999382946,t3.123.33,first,1,482,0,482,56,24,0,0,32,0
1624999383428,t3.123.33,first,1,347,0,347,105,54,0,0,51,0
1624999383792,t3.123.33,first,1,318,6,312,87,36,0,0,51,0
1624999384133,t3.123.33,first,1,439,5,434,93,42,0,0,51,0
1624999384599,t3.123.33,first,1,496,4,492,54,54,0,0,0,0
1624999385098,t3.123.33,first,1,341,6,335,30,30,0,0,0,0
1624999385441,t3.123.33,first,1,572,4,568,24,24,0,0,0,0
1624999386034,t3.123.33,first,1,316,4,312,106,36,0,0,70,0
1624999386376,t3.123.33,first,1,300,4,296,56,24,0,0,32,0
1624999386678,t3.123.33,first,1,326,9,317,18,18,0,0,0,0
1624999387017,t3.123.33,first,1,326,7,319,18,18,0,0,0,0
1624999387374,t3.123.33,first,1,352,5,347,93,42,0,0,51,0
1624999387749,t3.123.33,first,1,389,4,385,87,36,0,0,51,0
1624999388140,t3.123.33,first,1,393,6,387,30,30,0,0,0,0
1624999388549,t3.123.33,first,1,459,4,455,18,18,0,0,0,0
1624999389009,t3.123.33,first,1,463,3,460,99,48,0,0,51,0
1624999389505,t3.123.33,first,2,489,4,485,80,48,0,0,32,0
1624999389995,t3.123.33,first,2,530,4,526,30,30,0,0,0,0
1624999390550,t3.123.33,first,2,385,6,379,31,18,0,0,13,0
1624999390938,t3.123.33,first,2,394,5,389,24,24,0,0,0,0
1624999391358,t3.123.33,first,2,298,6,292,56,24,0,0,32,0
1624999391658,t3.123.33,first,2,543,5,538,30,30,0,0,0,0
1624999392213,t3.123.33,first,2,399,3,396,30,30,0,0,0,0
1624999392614,t3.123.33,first,2,355,3,352,93,42,0,0,51,0
1624999392972,t3.123.33,first,2,472,4,468,30,30,0,0,0,0
1624999393444,t3.123.33,first,2,375,0,375,48,48,0,0,0,0
1624999393851,t3.123.33,first,2,356,0,356,81,30,0,0,51,0
1624999394209,t3.123.33,first,2,334,6,328,55,42,0,0,13,0
1624999394543,t3.123.33,first,2,375,16,359,55,36,0,0,19,0
1624999394918,t3.123.33,first,2,453,19,434,42,42,0,0,0,0
1624999395387,t3.123.33,first,2,325,0,325,36,36,0,0,0,0
1624999395744,t3.123.33,first,2,426,0,426,56,24,0,0,32,0
1624999396170,t3.123.33,first,2,361,0,361,56,24,0,0,32,0
1624999396531,t3.123.33,first,2,518,0,518,30,30,0,0,0,0
1624999397096,t3.123.33,first,2,303,0,303,87,36,0,0,51,0
1624999397416,t3.123.33,first,2,372,3,369,37,24,0,0,13,0
1624999397789,t3.123.33,first,2,435,0,435,99,48,0,0,51,0
1624999398224,t3.123.33,first,2,424,0,424,62,30,0,0,32,0
1624999398648,t3.123.33,first,2,361,0,361,74,42,0,0,32,0
1624999399040,t3.123.33,first,2,351,15,336,43,24,0,0,19,0
1624999399407,t3.123.33,first,2,447,0,447,86,54,0,0,32,0
1624999399901,t3.123.33,first,2,470,0,470,36,36,0,0,0,0
1624999400386,t3.123.33,first,2,268,0,268,56,24,0,0,32,0
1624999400654,t3.123.33,first,2,471,16,455,24,24,0,0,0,0
1624999401140,t3.123.33,first,2,501,0,501,48,48,0,0,0,0
1624999401657,t3.123.33,first,2,378,5,373,61,42,0,0,19,0
1624999402036,t3.123.33,first,2,450,16,434,24,24,0,0,0,0
1624999402486,t3.123.33,first,2,456,0,456,30,30,0,0,0,0
1624999402973,t3.123.33,first,2,470,5,465,36,36,0,0,0,0
1624999403475,t3.123.33,first,2,345,0,345,99,48,0,0,51,0
1624999403836,t3.123.33,first,2,306,23,283,50,18,0,0,32,0
1624999404173,t3.123.33,first,2,460,0,460,54,54,0,0,0,0
1624999404633,t3.123.33,first,2,439,0,439,42,42,0,0,0,0
1624999405104,t3.123.33,first,2,330,0,330,49,30,0,0,19,0
1624999405434,t3.123.33,first,2,440,0,440,93,42,0,0,51,0
1624999405905,t3.123.33,first,2,348,0,348,56,24,0,0,32,0
1624999406253,t3.123.33,first,2,404,0,404,24,24,0,0,0,0
1624999406657,t3.123.33,first,2,424,18,406,86,54,0,0,32,0
1624999407159,t3.123.33,first,2,360,0,360,24,24,0,0,0,0
1624999407519,t3.123.33,first,2,443,0,443,93,42,0,0,51,0
1624999407962,t3.123.33,first,2,387,0,387,30,30,0,0,0,0
1624999408349,t3.123.33,first,2,377,0,377,30,30,0,0,0,0
1624999408757,t3.123.33,first,2,517,0,517,30,30,0,0,0,0
1624999409274,t3.123.33,first,2,502,0,502,43,24,0,0,19,0
1624999409791,t3.123.33,first,2,379,0,379,93,42,0,0,51,0
1624999410170,t3.123.33,first,2,427,0,427,92,60,0,0,32,0
1624999410597,t3.123.33,first,2,497,0,497,24,24,0,0,0,0
1624999411125,t3.123.33,first,2,452,0,452,61,48,0,0,13,0
1624999411577,t3.123.33,first,2,424,16,408,105,54,0,0,51,0
1624999412016,t3.123.33,first,2,517,16,501,30,30,0,0,0,0
1624999412533,t3.123.33,first,2,472,16,456,111,60,0,0,51,0
1624999413005,t3.123.33,first,2,407,17,390,24,24,0,0,0,0
1624999413428,t3.123.33,first,2,400,0,400,42,42,0,0,0,0
1624999413844,t3.123.33,first,2,448,5,443,36,36,0,0,0,0
1624999414293,t3.123.33,first,2,341,0,341,62,30,0,0,32,0
1624999414634,t3.123.33,first,2,299,0,299,81,30,0,0,51,0
1624999414933,t3.123.33,first,2,461,0,461,55,42,0,0,13,0
1624999415394,t3.123.33,first,2,561,20,541,30,30,0,0,0,0
1624999415957,t3.123.33,first,2,404,4,400,24,24,0,0,0,0
1624999416361,t3.123.33,first,2,406,0,406,68,36,0,0,32,0
1624999416767,t3.123.33,first,2,344,19,325,18,18,0,0,0,0
1624999417111,t3.123.33,first,2,487,19,468,99,48,0,0,51,0
1624999417598,t3.123.33,first,2,412,0,412,106,36,0,0,70,0
1624999418010,t3.123.33,first,2,432,0,432,81,30,0,0,51,0
1624999418442,t3.123.33,first,2,393,16,377,48,48,0,0,0,0
1624999418835,t3.123.33,first,2,394,0,394,24,24,0,0,0,0
1624999419244,t3.123.33,first,2,340,0,340,48,48,0,0,0,0
1624999419615,t3.123.33,first,2,645,5,640,48,48,0,0,0,0
1624999420293,t3.123.33,first,2,486,0,486,30,30,0,0,0,0
1624999420779,t3.123.33,first,2,288,0,288,75,24,0,0,51,0
1624999421067,t3.123.33,first,2,418,0,418,56,24,0,0,32,0
1624999421516,t3.123.33,first,2,391,18,373,48,48,0,0,0,0
1624999421907,t3.123.33,first,2,408,19,389,99,48,0,0,51,0
1624999422331,t3.123.33,first,2,459,21,438,74,42,0,0,32,0
1624999422805,t3.123.33,first,2,437,0,437,62,30,0,0,32,0
1624999423242,t3.123.33,first,2,576,0,576,24,24,0,0,0,0
1624999423818,t3.123.33,first,2,268,0,268,80,48,0,0,32,0
1624999424102,t3.123.33,first,2,455,0,455,24,24,0,0,0,0
1624999424572,t3.123.33,first,2,470,16,454,18,18,0,0,0,0
1624999425042,t3.123.33,first,2,455,0,455,80,48,0,0,32,0
1624999425528,t3.123.33,first,2,398,16,382,30,30,0,0,0,0
1624999425941,t3.123.33,first,2,403,19,384,87,36,0,0,51,0
1624999426376,t3.123.33,first,2,469,0,469,24,24,0,0,0,0
1624999426845,t3.123.33,first,2,392,0,392,50,18,0,0,32,0
1624999427237,t3.123.33,first,2,518,21,497,30,30,0,0,0,0
1624999427770,t3.123.33,first,2,502,0,502,56,24,0,0,32,0
1624999428272,t3.123.33,first,2,455,15,440,42,42,0,0,0,0
1624999428743,t3.123.33,first,2,484,0,484,93,42,0,0,51,0
1624999429258,t3.123.33,first,2,352,16,336,48,48,0,0,0,0
